,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
0,bbr,drop,0.0,2,0,1,1,0
1,bbr,drop,5.0,2,0,7,2,0
2,bbr,drop,10.0,2,0,5,2,0
3,bbr,drop,15.0,2,0,18,3,0
4,bbr,drop,20.0,2,0,228,2,0
5,bbr,drop,25.0,2,35,475,2,2
6,bbr,drop,25.0,128,0,5,1,0
7,bbr,drop,30.0,2,172,774,2,2
8,bbr,drop,30.0,128,0,6,3,0
9,bbr,drop,35.0,2,0,693,2,0
10,bbr,drop,35.0,128,0,6,3,0
11,bbr,drop,40.0,2,52,732,2,2
12,bbr,drop,40.0,128,0,6,3,0
13,bbr,drop,45.0,2,19,704,2,2
14,bbr,drop,45.0,128,0,6,3,0
15,bbr,drop,50.0,2,34,714,2,2
16,bbr,drop,50.0,128,0,6,3,0
17,bbr,drop,55.0,1,0,3,1,0
18,bbr,drop,55.0,2,49,728,2,2
19,bbr,drop,55.0,128,0,6,3,0
20,bbr,drop,60.0,1,0,7,2,0
21,bbr,drop,60.0,2,36,722,2,2
22,bbr,drop,60.0,128,0,6,3,0
23,bbr,drop,65.0,1,0,10,2,0
24,bbr,drop,65.0,2,66,736,2,2
25,bbr,drop,65.0,128,0,6,3,0
26,bbr,drop,70.0,1,0,74,1,0
27,bbr,drop,70.0,2,19,704,2,2
28,bbr,drop,70.0,128,0,6,3,0
29,bbr,drop,75.0,1,13,293,1,1
30,bbr,drop,75.0,2,34,714,2,2
31,bbr,drop,75.0,128,0,6,3,0
32,bbr,drop,80.0,1,17,656,1,1
33,bbr,drop,80.0,2,18,708,2,2
34,bbr,drop,80.0,128,0,6,3,0
35,bbr,drop,85.0,1,0,692,1,0
36,bbr,drop,85.0,2,18,704,2,2
37,bbr,drop,85.0,128,0,6,3,0
38,bbr,drop,90.0,1,0,691,1,0
39,bbr,drop,90.0,2,67,738,2,2
40,bbr,drop,90.0,4,0,3,1,0
41,bbr,drop,90.0,64,0,6,1,0
42,bbr,drop,90.0,128,0,6,3,0
43,bbr,drop,95.0,1,64,739,1,1
44,bbr,drop,95.0,2,23,708,2,2
45,bbr,drop,95.0,4,0,8,3,0
46,bbr,drop,95.0,32,0,5,1,0
47,bbr,drop,95.0,64,0,7,3,0
48,bbr,drop,95.0,128,0,6,3,0
49,bbr,drop,100.0,1,32,714,1,1
50,bbr,drop,100.0,2,22,712,2,2
51,bbr,drop,100.0,4,0,5,2,0
52,bbr,drop,100.0,32,0,6,3,0
53,bbr,drop,100.0,64,0,6,2,0
54,bbr,drop,100.0,128,0,6,3,0
55,bbr,drop,105.0,1,6,697,1,1
56,bbr,drop,105.0,2,25,707,2,2
57,bbr,drop,105.0,4,0,4,2,0
58,bbr,drop,105.0,8,0,6,1,0
59,bbr,drop,105.0,16,0,5,1,0
60,bbr,drop,105.0,32,0,6,3,0
61,bbr,drop,105.0,64,0,6,2,0
62,bbr,drop,105.0,128,0,8,3,0
63,bbr,drop,110.0,1,37,719,1,1
64,bbr,drop,110.0,2,57,732,2,2
65,bbr,drop,110.0,4,0,264,5,0
66,bbr,drop,110.0,8,0,7,3,0
67,bbr,drop,110.0,16,0,6,3,0
68,bbr,drop,110.0,32,0,6,3,0
69,bbr,drop,110.0,64,0,6,2,0
70,bbr,drop,110.0,128,0,6,2,0
71,bbr,drop,115.0,1,0,690,1,0
72,bbr,drop,115.0,2,84,753,2,2
73,bbr,drop,115.0,4,136,614,4,4
74,bbr,drop,115.0,8,0,6,2,0
