,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
0,bbr,drop,0.005,2,0,1,1,0
1,bbr,drop,0.006,2,0,2,1,0
2,bbr,drop,0.007,2,0,2,1,0
3,bbr,drop,0.008,2,0,1,1,0
4,bbr,drop,0.01,2,0,2,2,0
5,bbr,drop,0.011,2,0,2,1,0
6,bbr,drop,0.012,2,0,1,1,0
7,bbr,drop,0.013,2,0,2,1,0
8,bbr,drop,0.018,2,0,1,1,0
9,bbr,drop,0.019,2,0,17,3,0
10,bbr,drop,0.02,2,0,27,2,0
11,bbr,drop,0.021,2,0,17,2,0
12,bbr,drop,0.022,2,0,37,2,0
13,bbr,drop,0.023,2,0,60,2,0
14,bbr,drop,0.024,2,0,60,2,0
15,bbr,drop,0.025,2,0,58,2,0
16,bbr,drop,0.026,2,0,51,2,0
17,bbr,drop,0.027,2,18,49,2,2
18,bbr,drop,0.027,128,0,1,1,0
19,bbr,drop,0.028,2,17,117,2,2
20,bbr,drop,0.028,128,0,2,1,0
21,bbr,drop,0.029,2,0,158,2,0
22,bbr,drop,0.029,128,0,1,1,0
23,bbr,drop,0.03,2,1,138,2,1
24,bbr,drop,0.03,128,0,1,1,0
25,bbr,drop,0.031,2,119,175,2,2
26,bbr,drop,0.031,128,0,1,1,0
27,bbr,drop,0.032,2,52,189,2,2
28,bbr,drop,0.032,128,0,2,2,0
29,bbr,drop,0.033,2,0,136,2,0
30,bbr,drop,0.033,128,0,2,1,0
31,bbr,drop,0.034,2,0,138,2,0
32,bbr,drop,0.034,128,0,1,1,0
33,bbr,drop,0.035,2,0,136,2,0
34,bbr,drop,0.035,128,0,2,1,0
35,bbr,drop,0.036,2,0,142,2,0
36,bbr,drop,0.037,2,0,141,2,0
37,bbr,drop,0.037,128,0,1,1,0
38,bbr,drop,0.038,2,0,134,2,0
39,bbr,drop,0.038,128,0,2,1,0
40,bbr,drop,0.039,2,0,136,2,0
41,bbr,drop,0.039,128,0,1,1,0
42,bbr,drop,0.04,2,0,142,2,0
43,bbr,drop,0.04,128,0,2,1,0
44,bbr,drop,0.041,2,0,140,2,0
45,bbr,drop,0.042,2,0,136,2,0
46,bbr,drop,0.042,128,0,1,1,0
47,bbr,drop,0.043,2,0,135,2,0
48,bbr,drop,0.043,128,0,2,1,0
49,bbr,drop,0.044,2,23,159,2,2
50,bbr,drop,0.045,2,43,171,2,2
51,bbr,drop,0.045,128,0,1,1,0
52,bbr,drop,0.046,2,0,135,2,0
53,bbr,drop,0.046,128,0,2,1,0
54,bbr,drop,0.047,2,0,137,2,0
55,bbr,drop,0.047,128,0,1,1,0
56,bbr,drop,0.048,2,0,141,2,0
57,bbr,drop,0.048,128,0,2,1,0
58,bbr,drop,0.049,2,0,140,2,0
59,bbr,drop,0.05,2,18,149,2,2
60,bbr,drop,0.05,128,0,1,1,0
61,bbr,drop,0.051,2,21,151,2,2
62,bbr,drop,0.051,128,0,2,1,0
63,bbr,drop,0.052,2,0,142,2,0
64,bbr,drop,0.052,128,0,1,1,0
65,bbr,drop,0.053,2,0,140,2,0
66,bbr,drop,0.053,128,0,2,1,0
67,bbr,drop,0.054,2,0,136,2,0
68,bbr,drop,0.054,128,0,1,1,0
69,bbr,drop,0.055,2,18,147,2,2
70,bbr,drop,0.056,2,23,160,2,2
71,bbr,drop,0.056,128,0,2,1,0
72,bbr,drop,0.057,2,0,140,2,0
73,bbr,drop,0.057,128,0,1,1,0
74,bbr,drop,0.058,2,0,135,2,0
75,bbr,drop,0.058,128,0,2,1,0
76,bbr,drop,0.059,1,0,1,1,0
77,bbr,drop,0.059,2,0,136,2,0
78,bbr,drop,0.06,1,0,2,1,0
79,bbr,drop,0.06,2,20,157,2,2
80,bbr,drop,0.06,128,0,1,1,0
81,bbr,drop,0.061,1,0,2,1,0
82,bbr,drop,0.061,2,20,155,2,2
83,bbr,drop,0.061,128,0,2,1,0
84,bbr,drop,0.062,1,0,1,1,0
85,bbr,drop,0.062,2,0,135,2,0
86,bbr,drop,0.062,128,0,1,1,0
87,bbr,drop,0.063,1,0,2,2,0
88,bbr,drop,0.063,2,0,135,2,0
89,bbr,drop,0.063,128,0,2,1,0
90,bbr,drop,0.064,2,2,144,2,1
91,bbr,drop,0.065,1,0,2,1,0
92,bbr,drop,0.065,2,5,139,2,2
93,bbr,drop,0.065,128,0,1,1,0
94,bbr,drop,0.066,2,13,150,2,2
95,bbr,drop,0.066,128,0,2,1,0
96,bbr,drop,0.067,2,0,135,2,0
97,bbr,drop,0.067,128,0,1,1,0
98,bbr,drop,0.068,2,3,144,2,1
99,bbr,drop,0.068,128,0,2,1,0
100,bbr,drop,0.069,1,0,1,1,0
101,bbr,drop,0.069,2,34,163,2,2
102,bbr,drop,0.07,1,0,9,2,0
103,bbr,drop,0.07,2,13,147,2,2
104,bbr,drop,0.07,128,0,1,1,0
105,bbr,drop,0.071,1,0,11,1,0
106,bbr,drop,0.071,2,0,136,2,0
107,bbr,drop,0.071,128,0,2,1,0
